Word	Definition (from WordNet, Google, or Wikipedia)	animal	bird	body part	clothing	clothing accessory	container	dessert	drink	electronic device	food	fruit	furniture	home decor	insect	kitchen appliance	kitchen tool	medical equipment	musical instrument	office supply	part of car	plant	sports equipment	tool	toy	vegetable	vehicle	weapon	candy	hardware	mammal	sea animal	fastener	jewelry	watercraft	condiment	garden tool	lighting	personal hygiene item	scientific equipment	arts and crafts supply	home appliance	seafood	breakfast food	footwear	safety equipment	school supply	headwear	protective clothing	construction equipment	game	farm animal	outerwear	women's clothing
seafood	edible fish (broadly including freshwater fish) or shellfish or roe etc										1																																1											
seagull	mostly white aquatic bird having long pointed wings and short legs	1	1																																																			
seahorse	"small fish with horse-like heads bent sharply downward and curled tails; swim in upright position"	1																														1																						
seal	"any of numerous marine mammals that come on shore to breed; chiefly of cold regions"	1																													1	1																						
seaplane	an airplane that can land on or take off from water																										1								1																			
seatbelt	a safety belt used in a car or plane to hold you in your seat in case of an accident																				1																									1								
seaweed	plant growing in the sea, especially marine algae										1											1																					1											
seed	a small hard fruit																																																					
seesaw	"a plaything consisting of a board balanced on a fulcrum; the board is ridden up and down by children at either end"																																																					
seismograph	a measuring instrument for detecting and measuring the intensity and direction and duration of movements of the ground (as an earthquake)																																							1														
sequin	adornment consisting of a small piece of shiny material used to decorate clothing																																								1													
sewage	waste matter carried away in sewers or drains																																																					
sewing kit	a kit of articles used in sewing																																								1													
sewing machine	a textile machine used as a home appliance for sewing									1																															1	1												
shaker	a container in which something can be shaken						1																																															
shark	any of numerous elongate mostly marine carnivorous fishes with heterocercal caudal fins and tough skin covered with small toothlike scales	1																														1											1											
shaving cream	toiletry consisting of a preparation of soap and fatty acids that forms a rich lather for softening the beard before shaving																																						1															
shawl	cloak consisting of an oblong piece of cloth used to cover the head and shoulders				1	1																																															1	
shears	large scissors with strong blades																							1						1							1																	
sheath	a protective covering (as for a knife or sword)																																																					
sheep	woolly usually horned ruminant mammal related to the goat	1																													1																					1		
sheet	"bed linen consisting of a large rectangular piece of cotton or linen cloth; used in pairs"																																																					
shelf	a support that consists of a horizontal surface for holding objects												1																																									
shell1	"ammunition consisting of a cylindrical metal casing containing an explosive charge and a projectile; fired from a large gun"																																																					
shell2	the material that forms the hard outer covering of many animals																																																					
shell3	the hard usually fibrous outer layer of some fruits especially nuts																																																					
shield	armor carried on the arm to intercept blows																																													1								
ship	a vessel that carries passengers or freight																										1								1																			
shirt	a garment worn on the upper half of the body				1																																																	
shoe	footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material				1																																								1									
shoe polish	a substance used to produce a shiny protective surface on footwear																																																					
shoehorn	a device used for easing the foot into a shoe																																																					
shoelace	a lace used for fastening shoes																																																					
shopping basket	a handbasket used to carry goods while shopping						1																																															
shopping cart	a handcart that holds groceries or other goods while shopping						1																																															
shortbread	very rich thick butter cookie							1			1																																											
shorts	trousers that end at or above the knee				1																																																	
shoulder	the part of the body between the neck and the upper arm			1																																																		
shovel	"a hand tool for lifting loose material; consists of a curved container or scoop and a handle"																							1						1							1													1				
shower	a plumbing fixture that sprays water over you																																																					
shower cap	a tight cap worn to keep hair dry while showering																																						1															
shower curtain	a curtain that keeps water from splashing out of the shower area																																																					
showerhead	a perforated nozzle that showers water on a bather																																																					
shredder	a device that shreds documents (usually in order to prevent the wrong people from reading them)									1																																												
shrimp	any of various edible decapod crustaceans	1									1																					1											1											
shuffleboard	a game in which players use long sticks to shove wooden disks onto the scoring area marked on a smooth surface																																																		1			
shutter	a hinged blind for a window																																																					
sickle	"an edge tool for cutting grass or crops; has a curved blade and a short handle"																							1													1																	
sidecar	conveyance consisting of a small carrier attached to the side of a motorcycle																																																					
sifter	a household sieve (as for flour)																1																																					
silicone	"any of a large class of siloxanes that are unusually stable over a wide range of temperatures; used in lubricants and adhesives and coatings and synthetic rubber and electrical insulation"																																																					
silverware	tableware made of silver or silver plate or pewter or stainless steel																																																					
sim card	a smart card inside a mobile phone, carrying an identification number unique to the owner, storing personal data, and preventing operation if removed																																																					
sink	plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe																																																					
siren	an acoustic device producing a loud often wailing sound as a signal or warning																																																					
skateboard	a board with wheels that is ridden in a standing or crouching position and propelled by foot																						1		1		1																											
skeleton	the hard structure (bones and cartilages) that provides a frame for the body of an animal			1																																																		
skewer	a long pin for holding meat in position while it is being roasted																1																																					
ski	narrow wood or metal or plastic runners used in pairs for gliding over snow																						1																															
ski boots	a stiff boot that is fastened to a ski with a ski binding				1																		1																						1									
ski lift	a powered conveyance that carries skiers up a hill																																																					
ski pole	a pole with metal points used as an aid in skiing																						1																															
skin	a natural protective body covering and site of the sense of touch			1																																																		
skirt	"a garment hanging from the waist; worn mainly by girls and women"				1																																																	1
skull	the bony skeleton of the head of vertebrates			1																																																		
skunk	"American musteline mammal typically ejecting an intensely malodorous fluid when startled; in some classifications put in a separate subfamily Mephitinae"	1																													1																							
sled	"a vehicle mounted on runners and pulled by horses or dogs; for transportation over snow"																						1				1																											
sledgehammer	a heavy long-handled hammer used to drive stakes or wedges																							1						1																				1				
sleeping bag	"large padded bag designed to be slept in outdoors; usually rolls up like a bedroll"																																																					
slicer	"a machine for cutting; usually with a revolving blade"									1						1																																						
slide	plaything consisting of a sloping chute down which children can slide																																																					
slime	any thick, viscous matter																																																					
sling	"bandage to support an injured forearm; consisting of a wide triangular piece of cloth hanging from around the neck"																	1																																				
slingshot	"a plaything consisting of a Y-shaped stick with elastic between the arms; used to propel small stones"																								1			1																										
slipper	"low footwear that can be slipped on and off easily; usually worn indoors"				1																																								1									
slot	a small slit (as for inserting a coin or depositing mail)																																																					
slot machine	a machine that is operated by the insertion of a coin in a slot									1																																									1			
sloth	"any of several slow-moving arboreal mammals of South America and Central America; they hang from branches back downward and feed on leaves and fruits"	1																													1																							
slug	any of various terrestrial gastropods having an elongated slimy body and no external shell	1																																																				
smoke alarm	an alarm that is tripped off by fire or smoke									1																																				1								
smoothie	a thick smooth drink consisting of fresh fruit pureed with ice cream or yoghurt or milk								1																																													
snack	a light informal meal										1																																											
snail	freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell	1																														1											1											
snake	"limbless scaly elongate reptile; some are venomous"	1																																																				
snorkel	"breathing device consisting of a bent tube fitting into a swimmer's mouth and extending above the surface; allows swimmer to breathe while face down in the water"																						1																															
snow	precipitation falling from clouds in the form of ice crystals																																																					
snowball	snow pressed into a ball for throwing (playfully)																																																					
snowboard	"a board that resembles a broad ski or a small surfboard; used in a standing position to slide down snow-covered slopes"																						1																															
snowman	a figure of a person made of packed snow																																																					
snowmobile	tracked vehicle for travel on snow having skis in front																										1																											
snowplow	a vehicle used to push snow from roads																										1																											
snowshoe	"a device to help you walk on deep snow; a lightweight frame shaped like a racquet is strengthened with cross pieces and contains a network of thongs; one is worn on each foot"				1																		1																						1									
snowsuit	a child's overgarment for cold weather				1																																																1	
soap	a cleansing agent made from the salts of vegetable or animal fats																																						1															
soccer ball	an inflated ball used in playing soccer																						1																															
sock	"hosiery consisting of a cloth covering for the foot; worn inside the shoe; reaches to between the ankle and the knee"				1																																								1									
soda	a sweet drink containing carbonated water and flavoring								1																																													
soda fountain	an apparatus for dispensing soda water																																									1												
sofa bed	a sofa that can be converted into a bed												1																																									
solar panel	electrical device consisting of a large array of connected solar cells																																																					
soldering iron	"a hand tool with a heatable tip; used to melt and apply solder"																							1						1																								
sombrero	"a straw hat with a tall crown and broad brim; worn in American southwest and in Mexico"				1	1																																										1						
sonogram	"an image of a structure that is produced by ultrasonography (reflections of high-frequency sound waves); used to observe fetal growth or to study bodily organs"																																																					
sorbet	"an ice containing no milk but having a mushy consistency; usually made from fruit juice"							1			1																																											
souffle	light fluffy dish of egg yolks and stiffly beaten egg whites mixed with e.g. cheese or fish or fruit							1			1																																											
soup	liquid food especially of meat or fish or vegetable stock often containing pieces of solid food										1																																											
soy sauce	thin sauce made of fermented soy beans										1																									1																		
space shuttle	a reusable spacecraft with wings for a controlled descent through the Earth's atmosphere																										1																											
spacesuit	a pressure suit worn by astronauts while in outer space				1																																									1			1					
spaghetti	pasta in the form of long strings										1																																											
spam	a canned meat made largely from pork										1																																											
spareribs	cut of pork from the rib section with most of the meat trimmed off										1																																											
spark plug	electrical device that fits into the cylinder head of an internal-combustion engine and ignites the gas by means of an electric spark																				1									1																								
sparkler	a firework that burns slowly and throws out a shower of sparks																																																					
spatula	a turner with a narrow flexible blade																1							1																														
speaker	electro-acoustic transducer that converts electrical signals into sounds loud enough to be heard at a distance																																																					
spear	a long pointed rod used as a tool or weapon																											1																										
speedboat	a fast motorboat																										1								1																			
speedometer	a meter fixed to a vehicle that measures and displays its speed																				1																																	
spider	"predatory arachnid with eight legs, two poison fangs, two feelers, and usually two silk-spinning organs at the back end of the body; they spin silk to make cocoons for eggs or traps for prey"	1																																																				
spider web	a web spun by spiders to trap insect prey																																																					
spinach	"dark green leaves; eaten cooked or raw in salads"										1											1				1																												
splinter	a small thin sharp bit or wood or glass or metal																																																					
sponge	a porous mass of interlacing fibers that forms the internal skeleton of various marine animals and usable to absorb water or any porous rubber or cellulose product similarly used																																																					
spool	a winder around which thread or tape or film or other flexible materials can be wound																																																					
spoon	"a piece of cutlery with a shallow bowl-shaped container and a handle; used to stir or serve or take up food"																1							1																														
spout	an opening that allows the passage of liquids or grain																																																					
spring roll	an Asian snack consisting of rice paper filled with minced vegetables and usually meat, rolled into a cylinder and fried										1																																											
springboard	a flexible board for jumping upward																						1																															
sprinkler	mechanical device that attaches to a garden hose for watering lawn or garden																																																					
sprouts	young shoots eaten as a vegetable, especially the shoots of alfalfa, mung beans, or soybeans										1															1																												
spur	a sharp prod fixed to a rider's heel and used to urge a horse onward																																																					
squash	"edible fruit of a squash plant; eaten as a vegetable"										1															1																												
squeegee	"T-shaped cleaning implement with a rubber edge across the top; drawn across a surface to remove water (as in washing windows)"																							1																														
squid	widely distributed fast-moving ten-armed cephalopod mollusk having a long tapered body with triangular tail fins	1									1																					1											1											
squirrel	a kind of arboreal rodent having a long bushy tail	1																													1																							
squirt gun	plaything consisting of a toy pistol that squirts water																								1																													
stained glass	"glass that has been colored in some way; used for church windows"													1																																								
stair	support consisting of a place to rest the foot while ascending or descending a stairway																																																					
stake	a strong wooden or metal post with a point at one end so it can be driven into the ground																																																					
stalagmite	a cylinder of calcium carbonate projecting upward from the floor of a limestone cave																																																					
stamp1	a small adhesive token stuck on a letter or package to indicate that that postal fees have been paid																																																					
stamp2	a block or die used to imprint a mark or design																							1																	1													
staple	paper fastener consisting of a short length of U-shaped wire that can fasten papers together																			1													1																					
staple gun	a hand-held machine for driving staples home																							1						1																				1				
stapler	a machine that inserts staples into sheets of paper in order to fasten them together																			1																											1							
star fruit	"deeply ridged yellow-brown tropical fruit; used raw as a vegetable or in salad or when fully ripe as a dessert"										1	1																																										
starfish	echinoderms characterized by five arms extending from a central disk	1																														1																						
station wagon	a car that has a long body and rear door with space behind rear seat																										1																											
statue	a sculpture representing a human or animal													1																																								
steak	a slice of meat cut from the fleshy part of an animal or large fish										1																																											
steamroller	vehicle equipped with heavy wide smooth rollers for compacting roads and pavements																										1																							1				
steering wheel	a handwheel that is used for steering																				1																																	
stem	a slender or elongated structure that supports a plant or fungus or a plant part or plant organ																																																					
step stool	a stool that has one or two steps that fold under the seat												1																																									
stereo	reproducer in which two microphones feed two or more loudspeakers to give a three-dimensional effect to the sound									1																																												
stethoscope	a medical instrument for listening to the sounds generated inside the body																	1																						1														
stew	food prepared by stewing especially meat or fish with vegetables										1																																											
stick	an implement consisting of a length of wood																																																					
sticker	an adhesive label																																																					
stiletto	a woman's shoe with a thin, high tapering heel				1																																								1									1
stilt	"one of two stout poles with foot rests in the middle; used for walking high above the ground"																								1																													
stingray	large venomous ray with large barbed spines near the base of a thin whiplike tail capable of inflicting severe wounds	1																														1																						
stir fry	"a dish of stir-fried meat, vegetables cooked in a lightly oiled wok or frying pan over high heat; traditional Chinese dish"										1																																											
stirrup	support consisting of metal loops into which rider's feet go																																																					
stockings	"close-fitting hosiery to cover the foot and leg; come in matched pairs (usually used in the plural)"				1																																								1									1
stomach	the region of the body of a vertebrate between the thorax and the pelvis			1																																																		
stool	a simple seat without a back or arms												1																																									
stopwatch	a timepiece that can be started or stopped for exact timing (as of a race)																						1																															
stove1	a kitchen appliance used for cooking food																																									1												
stove2	any heating apparatus															1																																						
straightjacket	a garment similar to a jacket that is used to bind the arms tightly against the body as a means of restraining a violent person				1																																																	
strainer	a filter to retain larger pieces while smaller pieces and liquids pass through																1													1																								
strap	an elongated leather strip (or a strip of similar material) for binding things together or holding something in position																																1																					
straw	plant fiber used e.g. for making baskets and hats or as fodder																																																					
straw	a thin paper or plastic tube used to suck liquids into the mouth																																																					
strawberry	sweet fleshy red fruit										1	1																																										
streetlight	"a lamp supported on a lamppost; for illuminating a street"																																					1																
stretcher	"a litter for transporting people who are ill or wounded or dead; usually consists of a sheet of canvas stretched between two poles"																	1																																				
string cheese	cheese formed in long strings twisted together										1																																											
stroller	a small vehicle with four wheels in which a baby or child is pushed around																										1																											
stuffing	a mixture of seasoned ingredients used to stuff meats and vegetables										1																																											
stump	the base part of a tree that remains standing after the tree has been felled																																																					
submarine	a submersible warship usually armed with torpedoes																										1								1																			
subway	an electric railway operating below the surface of the ground (usually in a city)																										1																											
sugar cube	a small cube of compacted sugar used especially for sweetening hot drinks										1																																											
suit	a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color				1																																																	
suitcase	a portable rectangular container for carrying clothes						1																																															
sundae	ice cream served with a topping							1			1																																											
sundial	timepiece that indicates the daylight hours by the shadow that the gnomon casts on a calibrated dial																																																					
sunflower	any plant of the genus Helianthus having large flower heads with dark disk florets and showy yellow rays																					1																																
sunglasses	spectacles that are darkened or polarized to protect the eyes from the glare of the sun																																																					
sunroof	an automobile roof having a sliding or raisable panel																				1																																	
surfboard	a narrow buoyant board for riding surf																						1																															
sushi	rice (with raw fish) wrapped in seaweed										1																																											
suspenders	elastic straps that hold trousers up (usually used in the plural)				1	1																																																
swab	implement consisting of a small piece of cotton that is used to apply medication or cleanse a wound or obtain a specimen of a secretion																	1																					1	1														
swan	stately heavy-bodied aquatic bird with very long neck and usually white plumage as adult	1	1																																																			
sweater	a crocheted or knitted garment covering the upper part of the body				1																																																	
sweatsuit	garment consisting of sweat pants and a sweatshirt				1																																																	
sweeper	a cleaning implement with revolving brushes that pick up dirt as the implement is pushed over a carpet																							1																														
sweet potato	the edible tuberous root of the sweet potato vine which is grown widely in warm regions of the United States										1															1																												
swimming pool	pool that provides a facility for swimming						1																																															
swimsuit	tight fitting garment worn for swimming				1																																																	
swing	mechanical device used as a plaything to support someone swinging back and forth																																																					
swing set	a frame for children to play on, typically including one or more swings and a slide																																																					
switch	control consisting of a mechanical or electrical or electronic device for making or breaking or changing the connections in a circuit																													1																								
swizzle stick	a small stick used to stir mixed drinks																																																					
sword	a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard																											1																										
swordfish	"large toothless marine food fish with a long swordlike upper jaw; not completely cold-blooded i.e. they are able to warm their brains and eyes: worldwide in warm waters but feed on cold ocean floor coming to surface at night"	1									1																					1											1											
syringe	a medical instrument used to inject or withdraw fluids						1											1																						1														
syrup	a thick sweet sticky liquid										1																									1								1										
t-shirt	a close-fitting pullover shirt				1																																																	
tab	a short strip of material attached to or projecting from something in order to facilitate opening or identifying or handling it																																																					
table	a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs												1																																									
tablecloth	a covering spread over a dining table																																																					
tablet	a small portable computer that accepts input directly onto its screen rather than via a keyboard or mouse									1																																												
tack	a short nail with a sharp point and a large head																			1										1			1																					
tackle	gear used in fishing																																																					
taco	a tortilla rolled cupped around a filling										1																																											
tadpole	a larval frog or toad	1																																																				
taffy	chewy candy of sugar or syrup boiled until thick and pulled until glossy										1																		1																									
tag	a label written or printed on paper, cardboard, or plastic that is attached to something to indicate its owner, nature, price, etc.																																																					
taillight	lamp (usually red) mounted at the rear of a motor vehicle																				1																	1																
tamale	corn and cornmeal dough stuffed with a meat mixture then wrapped in corn husks and steamed										1																																											
tambourine	a shallow drum with a single drumhead and with metallic disks in the sides																		1																																			
tank	"an enclosed armored military vehicle; has a cannon and moves on caterpillar treads"																											1																										
tank	a large (usually metallic) vessel for holding gases or liquids						1																							1										1														
tape	a long thin piece of cloth or paper as used for binding or fastening																			1													1								1													
tape measure	measuring instrument consisting of a narrow strip (cloth or metal) marked in inches or centimeters and used for measuring lengths																							1																1														
tape recorder	a magnetic recorder using magnetic tape									1																																												
tapestry	a wall hanging of heavy handwoven fabric with pictorial designs													1																																								
tarantula	large hairy tropical spider with fangs that can inflict painful but not highly venomous bites	1																																																				
target	sports equipment consisting of an object set up for a marksman or archer to aim at																						1																															
tarp	waterproofed canvas																																																	1				
tattoo	a design on the skin made by tattooing																																																					
taxi	a car driven by a person whose job is to take passengers where they want to go in exchange for money																										1																											
tea	a beverage made by steeping tea leaves in water								1																																													
teabag	small paper bag holding a measure of tea																																																					
teacup	a cup from which tea is drunk						1																																															
teapot	"pot for brewing tea; usually has a spout and handle"						1																																															
teddy bear	plaything consisting of a child's toy bear (usually plush and stuffed with soft materials)																								1																													
tee	a short peg put into the ground to hold a golf ball off the ground																						1																															
teepee	"a Native American tent; usually of conical shape"																																																					
telegraph	apparatus used to communicate at a distance over a wire (usually in Morse code)																																																					
telephone pole	tall pole supporting telephone wires																																																					
telescope	a magnifier of images of distant objects																																							1														
television	broadcasting visual images of stationary or moving objects									1																																1												
tennis ball	ball about the size of a fist used in playing tennis																						1																															
tent	a portable shelter (usually of canvas stretched over supporting poles and fastened to the ground with ropes and pegs)						1																																															
terrarium	a vivarium in which selected living plants are kept and observed						1							1																																								
test tube	glass tube closed at one end						1																																	1														
thermometer	measuring instrument for measuring temperature																													1										1														
thermos	vacuum flask that preserves temperature of hot or cold drinks						1																																															
thermostat	a regulator for automatically regulating temperature by starting or stopping the supply of heat																																									1												
thimble	"a small metal cap to protect the finger while sewing; can be used as a small container"																																								1													
thorn	a small sharp-pointed tip resembling a spike on a stem or leaf																																																					
thread	a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving																																								1													
throne	the chair of state for a monarch, bishop, etc.												1																																									
thumb	the thick short innermost digit of the forelimb			1																																																		
thumbtack	a tack for attaching papers to a bulletin board or drawing board																			1													1																					
tiara	a jeweled headdress worn by women on formal occasions				1																													1														1						1
tick	"any of two families of small parasitic arachnids with barbed proboscis; feed on blood of warm-blooded animals"	1																																																				
ticktacktoe	"a game in which two players alternately put crosses and circles in one of the compartments of a square grid of nine spaces; the object is to get a row of three crosses or three circles before the opponent does"																																																		1			
tie	neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front				1	1																																																
tiger	"large feline of forests in most of Asia having a tawny coat with black stripes; endangered"	1																													1																							
tile	a thin flat slab of fired clay used for roofing																																																					
timer	a timepiece that measures a time interval and signals its end																1																							1														
tinsel	a thread with glittering metal foil attached																																																					
tiramisu	an Italian dessert consisting of layers of sponge cake soaked with coffee and brandy or liqueur layered with mascarpone cheese and topped with grated chocolate							1			1																																											
toad	a tailless amphibian with a short stout body and short legs, typically having dry warty skin that can exude poison	1																																																				
toast	slices of bread that have been toasted										1																																	1										
toaster	a kitchen appliance (usually electric) for toasting bread									1						1																										1												
toaster oven	kitchen appliance consisting of a small electric oven for toasting or warming food									1						1																										1												
toe	one of the digits of the foot			1																																																		
toga	a one-piece cloak worn by men in ancient Rome				1																																																	
toilet	a plumbing fixture for defecation and urination																																																					
toilet paper	a soft thin absorbent paper for use in toilets																																						1															
tomato	mildly acid red or yellow pulpy fruit eaten as a vegetable										1	1														1																												
tomato sauce	"sauce made with a puree of tomatoes (or strained tomatoes) with savory vegetables and other seasonings; can be used on pasta"										1																																											
tongs	"any of various devices for taking hold of objects; usually have two hinged legs with handles above and pointed hooks below"																1							1																1														
tongue	a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity			1																																																		
tool	an implement used in the practice of a vocation																							1						1																								
toolbox	a box or chest or cabinet for holding hand tools						1																																															
tooth	"hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense"			1																																																		
toothbrush	"small brush; has long handle; used to clean teeth"																																						1															
toothpaste	a dentifrice in the form of a paste																																						1															
toothpick	"pick consisting of a small strip of wood or plastic; used to pick food from between the teeth"																																						1															
top hat	"a man's hat with a tall crown; usually covered with silk or with beaver fur"				1	1																																										1						
torch	"a light usually carried in the hand; consists of some flammable substance"																																					1																
torpedo	armament consisting of a long cylindrical self-propelled underwater projectile that detonates on contact with a target																											1							1																			
torso	the body excluding the head and neck and limbs			1																																																		
tortellini	small ring-shaped stuffed pasta										1																																											
tortilla	thin unleavened pancake made from cornmeal or wheat flour										1																																											
tostada	a flat tortilla with various fillings piled on it										1																																											
totem pole	"a tribal emblem consisting of a pillar carved and painted with totemic figures; erected by Indian tribes of the northwest Pacific coast"																																																					
toucan	brilliantly colored arboreal fruit-eating bird of tropical America having a very large thin-walled beak	1	1																																																			
touchpad	a computer input device in the form of a small panel containing different touch-sensitive areas																																																					
towel	a rectangular piece of absorbent cloth (or paper) for drying or wiping																																																					
towel rack	a rack consisting of one or more bars on which towels can be hung																																																					
toy	an artifact designed to be played with																								1																													
tractor	"a wheeled vehicle with large wheels; used in farming and other applications"																										1																											
traffic light	a visual signal to control the flow of traffic at intersections																																																					
trailer	a wheeled vehicle that can be pulled by a car or truck and is equipped for occupancy																																																					
train	public transport provided by a line of railway cars coupled together and drawn by a locomotive																										1																											
train car	a vehicle used for the carrying of cargo or passengers on a rail transport system (a railroad/railway)																																																					
train set	a toy consisting of small models of railroad trains and the track for them to run on																								1																													
trampoline	"gymnastic apparatus consisting of a strong canvas sheet attached with springs to a metal frame; used for tumbling"																						1																															
trap	a device in which something (usually an animal) can be caught and penned																																																					
trapdoor	a hinged or sliding door in a floor or ceiling																																																					
trashcan	a bin that holds rubbish until it is collected						1																																															
tray	an open receptacle for holding or displaying or serving articles or food																																																					
treadmill	an exercise device consisting of an endless belt on which a person can walk or jog without changing place									1													1																															
treasure	a collection of precious things																																																					
tree	"a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms"																					1																																
tree trunk	"the main stem of a tree; usually covered with bark; the bole is usually the part that is commercially useful for lumber"																																																					
triangle	a percussion instrument consisting of a metal bar bent in the shape of an open triangle																		1																																			
tricycle	a vehicle with three wheels that is moved by foot pedals																										1																											
trident	a spear with three prongs																							1				1																										
trigger	lever that activates the firing mechanism of a gun																																																					
tripod	a three-legged rack used for support																																																					
trolley	a wheeled vehicle that runs on rails and is propelled by electricity																										1																											
trombone	a brass instrument consisting of a long tube whose length can be varied by a U-shaped slide																		1																																			
trophy	something given as a token of victory																																																					
trough	a container (usually in a barn or stable) from which cattle or horses feed																																																					
trowel	"a small hand tool with a handle and flat metal blade; used for scooping or spreading plaster or similar materials"																							1						1							1													1				
truck	an automotive vehicle suitable for hauling																										1																											
